id,cell_nuclei_type,dataset_name,tasks,models
0,Epithelial,MoNuSAC,Segmentation,Hover-Net
1,Lymphocyte,MoNuSAC,Segmentation,Hover-Net
2,Macrophage,MoNuSAC,Segmentation,Hover-Net
3,Neutrophil,MoNuSAC,Segmentation,Hover-Net
4,Epithelial,PanNuke,Classification,ResNet
5,Lymphocyte,PanNuke,Classification,ResNet
6,Macrophage,PanNuke,Classification,ResNet
7,Neutrophil,PanNuke,Classification,ResNet
8,Plasma Cell,Camelyon16,Detection,Mask R-CNN
9,Fibroblast,LUNG,Segmentation,DeepLab
10,Epithelial,CoNSeP,Classification,Inception-V3
11,Lymphocyte,CoNSeP,Segmentation,U-Net
12,Macrophage,TNBC,Segmentation and Classification,Hover-Net
13,Neutrophil,TNBC,Detection,Mask R-CNN
14,Plasma Cell,MoNuSAC,Segmentation,ResNet
15,Fibroblast,PanNuke,Classification,DeepLab
16,Epithelial,LUNG,Detection,Inception-V3
17,Lymphocyte,Camelyon16,Segmentation,U-Net
18,Macrophage,TNBC,Classification,ResNet
19,Neutrophil,CoNSeP,Segmentation and Classification,Hover-Net
20,Plasma Cell,PanNuke,Detection,Mask R-CNN
21,Fibroblast,Camelyon16,Segmentation,DeepLab
22,Epithelial,MoNuSAC,Classification,Inception-V3
23,Lymphocyte,LUNG,Detection,U-Net
24,Macrophage,PanNuke,Segmentation,ResNet
25,Neutrophil,MoNuSAC,Segmentation and Classification,Hover-Net
26,Plasma Cell,PanNuke,Classification,ResNet
27,Fibroblast,TNBC,Detection,Mask R-CNN
28,Epithelial,CoNSeP,Segmentation,DeepLab
29,Lymphocyte,Camelyon16,Classification,Inception-V3
30,Macrophage,LUNG,Detection,U-Net
31,Neutrophil,PanNuke,Segmentation,ResNet
32,Plasma Cell,MoNuSAC,Classification,Hover-Net
33,Fibroblast,MoNuSAC,Segmentation,Mask R-CNN
34,Epithelial,TNBC,Classification,DeepLab
35,Lymphocyte,LUNG,Detection,Inception-V3
36,Macrophage,Camelyon16,Segmentation,U-Net
37,Neutrophil,CoNSeP,Segmentation and Classification,ResNet
38,Plasma Cell,PanNuke,Detection,Hover-Net
39,Fibroblast,TNBC,Segmentation,DeepLab
40,Lymphocyte,CoNSeP,Segmentation,Mask R-CNN
41,Macrophage,LUNG,Detection,Hover-Net
42,Neutrophil,Camelyon16,Classification,DeepLab
43,Plasma Cell,MoNuSAC,Segmentation,Inception-V3
44,Fibroblast,PanNuke,Classification,U-Net
45,Epithelial,Camelyon16,Detection,ResNet
46,Lymphocyte,LUNG,Segmentation and Classification,Hover-Net
47,Macrophage,MoNuSAC,Classification,Mask R-CNN
48,Neutrophil,TNBC,Segmentation,DeepLab
49,Plasma Cell,CoNSeP,Classification,Inception-V3
50,Fibroblast,PanNuke,Detection,U-Net
51,Epithelial,LUNG,Segmentation,ResNet
52,Lymphocyte,TNBC,Classification,Hover-Net
53,Macrophage,Camelyon16,Segmentation and Classification,Mask R-CNN
54,Neutrophil,MoNuSAC,Detection,DeepLab
55,Plasma Cell,PanNuke,Segmentation,Inception-V3
56,Fibroblast,LUNG,Classification,U-Net
57,Epithelial,CoNSeP,Detection,ResNet
58,Lymphocyte,Camelyon16,Segmentation and Classification,Hover-Net
59,Macrophage,PanNuke,Classification,Mask R-CNN
60,Neutrophil,MoNuSAC,Segmentation,DeepLab
61,Fibroblast,LUNG,Detection,U-Net
62,Epithelial,TNBC,Segmentation,ResNet
63,Lymphocyte,MoNuSAC,Classification,Hover-Net
64,Macrophage,Camelyon16,Segmentation,Mask R-CNN
65,Neutrophil,PanNuke,Segmentation and Classification,DeepLab
66,Plasma Cell,PanNuke,Detection,Inception-V3
67,Fibroblast,CoNSeP,Classification,U-Net
68,Epithelial,MoNuSAC,Detection,ResNet
69,Lymphocyte,LUNG,Segmentation,Hover-Net
70,Macrophage,TNBC,Classification,Mask R-CNN
71,Neutrophil,Camelyon16,Segmentation,DeepLab
72,Plasma Cell,PanNuke,Classification,Inception-V3
73,Fibroblast,MoNuSAC,Detection,U-Net
74,Epithelial,CoNSeP,Segmentation and Classification,ResNet
75,Lymphocyte,TNBC,Detection,Hover-Net
76,Macrophage,PanNuke,Segmentation,Mask R-CNN
77,Neutrophil,LUNG,Classification,DeepLab
78,Plasma Cell,MoNuSAC,Detection,Inception-V3
79,Fibroblast,PanNuke,Segmentation,U-Net
80,Epithelial,CoNSeP,Classification,ResNet
81,Macrophage,LUNG,Classification,Mask R-CNN
82,Neutrophil,TNBC,Segmentation and Classification,DeepLab
83,Plasma Cell,Camelyon16,Detection,Inception-V3
84,Epithelial,TNBC,Classification,ResNet
85,Lymphocyte,CoNSeP,Detection,Hover-Net
86,Macrophage,MoNuSAC,Segmentation,Mask R-CNN
87,Neutrophil,PanNuke,Classification,DeepLab
88,Plasma Cell,LUNG,Detection,Inception-V3
89,Fibroblast,TNBC,Segmentation,U-Net
90,Epithelial,CoNSeP,Classification,Inception-ResNet
91,Lymphocyte,Camelyon17,Detection,EfficientNet
92,Macrophage,LUNG,Segmentation,FPN
93,Neutrophil,TNBC,Classification,DenseNet
94,Plasma Cell,MoNuSAC,Detection,SSD
95,Fibroblast,PanNuke,Segmentation,UNet++
96,Epithelial,CoNSeP,Segmentation,HRNet
97,Lymphocyte,MoNuSAC,Detection,Faster R-CNN
98,Macrophage,Camelyon16,Classification,VGG16
99,Neutrophil,LUNG,Detection,YOLOv4
100,Plasma Cell,PanNuke,Classification,Xception
101,Fibroblast,TNBC,Segmentation,LinkNet
102,Epithelial,MoNuSAC,Detection,YOLOv5
103,Lymphocyte,Camelyon17,Classification,MobileNetV2
104,Macrophage,LUNG,Detection,RetinaNet
