"Cell Nuclei Type";"Dataset Name";"Tasks";"Models"
"Epithelial";"MoNuSAC";"Segmentation";"Hover-Net"
"Lymphocyte";"MoNuSAC";"Segmentation";"Hover-Net"
"Macrophage";"MoNuSAC";"Segmentation";"Hover-Net"
"Neutrophil";"MoNuSAC";"Segmentation";"Hover-Net"
"Epithelial";"PanNuke";"Classification";"ResNet"
"Lymphocyte";"PanNuke";"Classification";"ResNet"
"Macrophage";"PanNuke";"Classification";"ResNet"
"Neutrophil";"PanNuke";"Classification";"ResNet"
"Plasma Cell";"Camelyon16";"Detection";"Mask R-CNN"
"Fibroblast";"LUNG";"Segmentation";"DeepLab"
"Epithelial";"CoNSeP";"Classification";"Inception-V3"
"Lymphocyte";"CoNSeP";"Segmentation";"U-Net"
"Macrophage";"TNBC";"Segmentation and Classification";"Hover-Net"
"Neutrophil";"TNBC";"Detection";"Mask R-CNN"
"Plasma Cell";"MoNuSAC";"Segmentation";"ResNet"
"Fibroblast";"PanNuke";"Classification";"DeepLab"
"Epithelial";"LUNG";"Detection";"Inception-V3"
"Lymphocyte";"Camelyon16";"Segmentation";"U-Net"
"Macrophage";"TNBC";"Classification";"ResNet"
"Neutrophil";"CoNSeP";"Segmentation and Classification";"Hover-Net"
"Plasma Cell";"PanNuke";"Detection";"Mask R-CNN"
"Fibroblast";"Camelyon16";"Segmentation";"DeepLab"
"Epithelial";"MoNuSAC";"Classification";"Inception-V3"
"Lymphocyte";"LUNG";"Detection";"U-Net"
"Macrophage";"PanNuke";"Segmentation";"ResNet"
"Neutrophil";"MoNuSAC";"Segmentation and Classification";"Hover-Net"
"Plasma Cell";"PanNuke";"Classification";"ResNet"
"Fibroblast";"TNBC";"Detection";"Mask R-CNN"
"Epithelial";"CoNSeP";"Segmentation";"DeepLab"
"Lymphocyte";"Camelyon16";"Classification";"Inception-V3"
"Macrophage";"LUNG";"Detection";"U-Net"
"Neutrophil";"PanNuke";"Segmentation";"ResNet"
"Plasma Cell";"MoNuSAC";"Classification";"Hover-Net"
"Fibroblast";"MoNuSAC";"Segmentation";"Mask R-CNN"
"Epithelial";"TNBC";"Classification";"DeepLab"
"Lymphocyte";"LUNG";"Detection";"Inception-V3"
"Macrophage";"Camelyon16";"Segmentation";"U-Net"
"Neutrophil";"CoNSeP";"Segmentation and Classification";"ResNet"
"Plasma Cell";"PanNuke";"Detection";"Hover-Net"
"Fibroblast";"TNBC";"Segmentation";"DeepLab"
"Epithelial";"PanNuke";"Classification";"ResNet"
"Lymphocyte";"CoNSeP";"Segmentation";"Mask R-CNN"
"Macrophage";"LUNG";"Detection";"Hover-Net"
"Neutrophil";"Camelyon16";"Classification";"DeepLab"
"Plasma Cell";"MoNuSAC";"Segmentation";"Inception-V3"
"Fibroblast";"PanNuke";"Classification";"U-Net"
"Epithelial";"Camelyon16";"Detection";"ResNet"
"Lymphocyte";"LUNG";"Segmentation and Classification";"Hover-Net"
"Macrophage";"MoNuSAC";"Classification";"Mask R-CNN"
"Neutrophil";"TNBC";"Segmentation";"DeepLab"
"Plasma Cell";"CoNSeP";"Classification";"Inception-V3"
"Fibroblast";"PanNuke";"Detection";"U-Net"
"Epithelial";"LUNG";"Segmentation";"ResNet"
"Lymphocyte";"TNBC";"Classification";"Hover-Net"
"Macrophage";"Camelyon16";"Segmentation and Classification";"Mask R-CNN"
"Neutrophil";"MoNuSAC";"Detection";"DeepLab"
"Plasma Cell";"PanNuke";"Segmentation";"Inception-V3"
"Fibroblast";"LUNG";"Classification";"U-Net"
"Epithelial";"CoNSeP";"Detection";"ResNet"
"Lymphocyte";"Camelyon16";"Segmentation and Classification";"Hover-Net"
"Macrophage";"PanNuke";"Classification";"Mask R-CNN"
"Neutrophil";"MoNuSAC";"Segmentation";"DeepLab"
"Plasma Cell";"CoNSeP";"Classification";"Inception-V3"
"Fibroblast";"LUNG";"Detection";"U-Net"
"Epithelial";"TNBC";"Segmentation";"ResNet"
"Lymphocyte";"MoNuSAC";"Classification";"Hover-Net"
"Macrophage";"Camelyon16";"Segmentation";"Mask R-CNN"
"Neutrophil";"PanNuke";"Segmentation and Classification";"DeepLab"
"Plasma Cell";"PanNuke";"Detection";"Inception-V3"
"Fibroblast";"CoNSeP";"Classification";"U-Net"
"Epithelial";"MoNuSAC";"Detection";"ResNet"
"Lymphocyte";"LUNG";"Segmentation";"Hover-Net"
"Macrophage";"TNBC";"Classification";"Mask R-CNN"
"Neutrophil";"Camelyon16";"Segmentation";"DeepLab"
"Plasma Cell";"PanNuke";"Classification";"Inception-V3"
"Fibroblast";"MoNuSAC";"Detection";"U-Net"
"Epithelial";"CoNSeP";"Segmentation and Classification";"ResNet"
"Lymphocyte";"TNBC";"Detection";"Hover-Net"
"Macrophage";"PanNuke";"Segmentation";"Mask R-CNN"
"Neutrophil";"LUNG";"Classification";"DeepLab"
"Plasma Cell";"MoNuSAC";"Detection";"Inception-V3"
"Fibroblast";"PanNuke";"Segmentation";"U-Net"
"Epithelial";"CoNSeP";"Classification";"ResNet"
"Lymphocyte";"MoNuSAC";"Segmentation";"Hover-Net"
"Macrophage";"LUNG";"Classification";"Mask R-CNN"
"Neutrophil";"TNBC";"Segmentation and Classification";"DeepLab"
"Plasma Cell";"Camelyon16";"Detection";"Inception-V3"
"Fibroblast";"PanNuke";"Segmentation";"U-Net"
"Epithelial";"TNBC";"Classification";"ResNet"
"Lymphocyte";"CoNSeP";"Detection";"Hover-Net"
"Macrophage";"MoNuSAC";"Segmentation";"Mask R-CNN"
"Neutrophil";"PanNuke";"Classification";"DeepLab"
"Plasma Cell";"LUNG";"Detection";"Inception-V3"
"Fibroblast";"TNBC";"Segmentation";"U-Net"

"Epithelial";"CoNSeP";"Classification";"Inception-ResNet"
"Lymphocyte";"Camelyon17";"Detection";"EfficientNet"
"Macrophage";"LUNG";"Segmentation";"FPN"
"Neutrophil";"TNBC";"Classification";"DenseNet"
"Plasma Cell";"MoNuSAC";"Detection";"SSD"
"Fibroblast";"PanNuke";"Segmentation";"UNet++"
"Epithelial";"CoNSeP";"Segmentation";"HRNet"
"Lymphocyte";"MoNuSAC";"Detection";"Faster R-CNN"
"Macrophage";"Camelyon16";"Classification";"VGG16"
"Neutrophil";"LUNG";"Detection";"YOLOv4"
"Plasma Cell";"PanNuke";"Classification";"Xception"
"Fibroblast";"TNBC";"Segmentation";"LinkNet"
"Epithelial";"MoNuSAC";"Detection";"YOLOv5"
"Lymphocyte";"Camelyon17";"Classification";"MobileNetV2"
"Macrophage";"LUNG";"Detection";"RetinaNet"
"Neutrophil";"PanNuke";"Segmentation";"Dual Path Network"
"Plasma Cell";"CoNSeP";"Classification";"EfficientNet-B3"
"Fibroblast";"Camelyon16";"Detection";"RefineNet"
"Epithelial";"MoNuSAC";"Segmentation";"DenseUNet"
"Lymphocyte";"TNBC";"Classification";"NASNet"
"Macrophage";"PanNuke";"Detection";"YOLOv3"
"Neutrophil";"CoNSeP";"Segmentation";"PSPNet"
"Plasma Cell";"LUNG";"Detection";"FPN"
"Fibroblast";"Camelyon17";"Classification";"ResNeXt"
"Epithelial";"MoNuSAC";"Detection";"Faster R-CNN"
"Lymphocyte";"PanNuke";"Segmentation";"UNet3+"
"Macrophage";"CoNSeP";"Classification";"Inception-V4"
"Neutrophil";"LUNG";"Detection";"RetinaNet"
"Plasma Cell";"TNBC";"Segmentation";"Attn-UNet"
"Fibroblast";"Camelyon16";"Detection";"YOLOv4"
"Epithelial";"MoNuSAC";"Classification";"MobileNet"
"Lymphocyte";"PanNuke";"Detection";"YOLOv5"
"Macrophage";"Camelyon17";"Segmentation";"HRNet"
"Neutrophil";"CoNSeP";"Classification";"VGG19"
"Plasma Cell";"LUNG";"Detection";"SSD"
"Fibroblast";"PanNuke";"Segmentation";"DeepLabV3+"
"Epithelial";"TNBC";"Detection";"YOLOv4"
"Lymphocyte";"MoNuSAC";"Classification";"ResNet50"
"Macrophage";"Camelyon16";"Detection";"YOLOv3"
"Neutrophil";"PanNuke";"Segmentation";"UNet++"
"Plasma Cell";"LUNG";"Classification";"EfficientNet-B1"
"Fibroblast";"TNBC";"Detection";"SSD"
"Epithelial";"CoNSeP";"Segmentation";"DenseNet"
"Lymphocyte";"PanNuke";"Classification";"Xception"
"Macrophage";"MoNuSAC";"Detection";"RetinaNet"
"Neutrophil";"Camelyon17";"Segmentation";"RefineNet"
"Plasma Cell";"PanNuke";"Detection";"YOLOv5"
"Fibroblast";"MoNuSAC";"Classification";"NASNet"
"Epithelial";"LUNG";"Segmentation";"FPN"
"Lymphocyte";"TNBC";"Detection";"YOLOv4"
"Macrophage";"PanNuke";"Classification";"EfficientNet"
"Neutrophil";"CoNSeP";"Segmentation";"UNet3+"
"Plasma Cell";"Camelyon16";"Detection";"Faster R-CNN"
"Fibroblast";"PanNuke";"Classification";"Inception-V3"
"Epithelial";"MoNuSAC";"Detection";"SSD"
"Lymphocyte";"LUNG";"Segmentation";"UNet++"
"Macrophage";"CoNSeP";"Classification";"MobileNetV3"
"Neutrophil";"Camelyon17";"Detection";"YOLOv5"
